RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.500,0.200,180
C2,Top,1.650,0.350,90
C3,Top,1.800,0.200,0
C4,Top,1.950,0.350,90
C7,Top,2.100,0.150,270
C8,Top,2.355,0.650,0
C9,Top,2.530,0.650,0
C10,Top,2.800,0.550,90
C11,Top,2.800,0.350,90
C12,Top,2.800,0.180,270
C13,Top,2.150,1.320,90
C14,Top,2.110,1.170,180
C15,Top,2.150,1.020,270
C16,Top,2.610,1.320,90
C17,Top,2.610,1.020,270
C18,Top,2.150,0.840,270
C19,Top,3.140,0.505,0
C20,Top,3.140,0.220,0
C21,Top,4.260,0.150,180
C22,Top,5.947,0.450,0
D1,Top,0.350,0.250,270
D2,Top,1.250,0.450,270
D3,Top,1.350,0.450,270
D4,Top,1.250,0.250,270
D5,Top,1.350,0.250,270
D6,Top,1.800,0.500,0
D7,Top,3.565,0.265,270
D8,Top,5.940,1.008,0
IC2,Top,1.500,0.350,180
IC3,Top,1.800,0.350,90
IC4,Top,2.380,1.170,270
IC5,Top,2.380,0.920,270
IC6,Top,2.440,0.350,270
IC7,Top,4.360,0.310,270
IC8,Top,5.285,1.080,270
L1,Top,3.422,0.265,90
L2,Top,3.910,0.265,90
R1,Top,0.150,0.450,270
R2,Top,0.250,0.450,270
R3,Top,0.350,0.450,270
R4,Top,0.900,0.450,90
R5,Top,0.900,0.250,270
R6,Top,1.050,0.450,270
R7,Top,1.150,0.450,270
R8,Top,1.050,0.250,90
R9,Top,1.150,0.250,90
R10,Top,2.200,0.550,90
R11,Top,2.200,0.350,270
R12,Top,2.200,0.150,270
R13,Top,2.700,0.550,90
R14,Top,2.700,0.350,90
R15,Top,2.700,0.180,270
R16,Top,2.050,1.460,180
R17,Top,1.950,1.320,90
R18,Top,2.050,1.320,90
R19,Top,2.720,1.460,0
R20,Top,2.720,1.320,90
R21,Top,2.830,1.320,90
R22,Top,2.720,1.020,270
R23,Top,2.830,1.020,270
R24,Top,2.720,0.880,0
R25,Top,1.950,1.020,270
R26,Top,2.050,1.020,270
R27,Top,1.990,0.880,180
R28,Top,4.525,0.515,0
R29,Top,4.590,0.330,90
R30,Top,4.590,0.150,270
R31,Top,4.450,0.150,0
R32,Top,5.285,1.435,180
R33,Top,5.285,1.335,180
R34,Top,5.285,1.235,0
